anio,mes,lpei,lpi,desagregacion
2016,Feb,1371.4,2955.6,Urbano
2016,Mar,1040.96,2060.89,Rural
2016,Mar,1368.13,2952.02,Urbano
2016,Abr,1036.83,2049.55,Rural
2016,Abr,1365.67,2933.79,Urbano
2016,May,1029.74,2028,Rural
2016,May,1360.75,2899.9,Urbano
2016,Jun,1018.7,2018.56,Rural
2016,Jun,1350.92,2889.49,Urbano
2016,Jul,1015.44,2019.01,Rural
2016,Jul,1348.81,2893.1,Urbano
2016,Ago,1018.43,2030.14,Rural
2016,Ago,1351.24,2903.91,Urbano
2016,Sep,1043.65,2061.58,Rural
2016,Sep,1375.79,2934.54,Urbano
2016,Oct,1046.15,2076.3,Rural
2016,Oct,1378.54,2957.39,Urbano
2016,Nov,1052.21,2098.01,Rural
2016,Nov,1385.68,2990.97,Urbano
2016,Dic,1063.71,2111.78,Rural
2016,Dic,1400.83,3008.3,Urbano
2017,Ene,1061.81,2139.43,Rural
2017,Ene,1404.52,3073.59,Urbano
2017,Feb,1055.86,2141.05,Rural
2017,Feb,1401.71,3083.71,Urbano
2017,Mar,1067.37,2157.03,Rural
2017,Mar,1414.8,3100.13,Urbano
2017,Abr,1080.81,2164.7,Rural
2017,Abr,1428.69,3098.55,Urbano
2017,May,1090.9,2166.75,Rural
2017,May,1438.96,3088.19,Urbano
2017,Jun,1099.98,2176.5,Rural
2017,Jun,1449.85,3099.4,Urbano
2017,Jul,1120.08,2196.08,Rural
2017,Jul,1471.6,3118.14,Urbano
2017,Ago,1141.94,2223.1,Rural
2017,Ago,1495.99,3151.64,Urbano
2017,Sep,1146.75,2235.02,Rural
2017,Sep,1504.81,3169.87,Urbano
2017,Oct,1130.92,2234.2,Rural
2017,Oct,1491.07,3191.59,Urbano
2017,Nov,1138.99,2261.49,Rural
2017,Nov,1498.97,3234.85,Urbano
2017,Dic,1153.5,2281.08,Rural
2017,Dic,1513.63,3256.93,Urbano
2018,Ene,1151.09,2287.9,Rural
2018,Ene,1514.91,3275.25,Urbano
2018,Feb,1135.16,2281.77,Rural
2018,Feb,1500.89,3275.63,Urbano
2018,Mar,1148.31,2299.54,Rural
2018,Mar,1514.18,3293.28,Urbano
2018,Abr,1147.23,2291.99,Rural
2018,Abr,1514.53,3275.93,Urbano
2018,May,1136.49,2270.87,Rural
2018,May,1504.32,3250.97,Urbano
2018,Jun,1135.34,2274.35,Rural
2018,Jun,1506.1,3264.7,Urbano
2018,Jul,1145.5,2288.44,Rural
2018,Jul,1521.44,3287.59,Urbano
2018,Ago,1164.75,2316.57,Rural
2018,Ago,1544.07,3325.4,Urbano
2018,Sep,1168.41,2328.05,Rural
2018,Sep,1547.62,3346.84,Urbano
2018,Oct,1165.41,2338.47,Rural
2018,Oct,1543.15,3364.85,Urbano
2018,Nov,1185.71,2374.07,Rural
2018,Nov,1562.69,3405.41,Urbano
2018,Dic,1208.47,2397.37,Rural
2018,Dic,1586.96,3427.76,Urbano
2019,Ene,1218,2406.97,Rural
2019,Ene,1600.7,3437.22,Urbano
2019,Feb,1201.97,2397.13,Rural
2019,Feb,1587.74,3434.31,Urbano
2019,Mar,1208.6,2410.53,Rural
2019,Mar,1595.99,3455.04,Urbano
2019,Abr,1216.56,2410.63,Rural
2019,Abr,1605.23,3446.57,Urbano
2019,May,1210.27,2392.29,Rural
2019,May,1598.44,3415.63,Urbano
2019,Jun,1201.19,2382.82,Rural
2019,Jun,1589.23,3400.13,Urbano
2019,Jul,1218.42,2401.91,Rural
2019,Jul,1608.23,3419.07,Urbano
2019,Ago,1209.7,2397.69,Rural
2019,Ago,1602.22,3417.87,Urbano
2019,Sep,1209.15,2402.4,Rural
2019,Sep,1602.47,3428.43,Urbano
2019,Oct,1211.57,2417.25,Rural
2019,Oct,1604.28,3451.93,Urbano
2019,Nov,1224.81,2447.85,Rural
2019,Nov,1617.7,3494.41,Urbano
2019,Dic,1240.98,2467.13,Rural
2019,Dic,1637.36,3518.75,Urbano
2020,Ene,1255.26,2485.63,Rural
2020,Ene,1653.99,3538.97,Urbano
2020,Feb,1264.8,2497.08,Rural
2020,Feb,1663.3,3549.11,Urbano
2020,Mar,1278.35,2501.32,Rural
2020,Mar,1676.85,3542.59,Urbano
2020,Abr,1279.37,2467.72,Rural
2020,Abr,1677.69,3475.81,Urbano
2020,May,1289.46,2474.23,Rural
2020,May,1689.3,3482.44,Urbano
